Date,Matchup #,Sport,Matchup Time,Winner %
20150521,1,Soccer,12:30 PM,88.2%
20150521,2,MLB,1:10 PM,41.8%
20150521,3,Soccer,2:45 PM,8.6%
20150521,4,MLB,3:45 PM,28.6%
20150521,5,MLB,7:07 PM,21.8%
20150521,6,MLB,7:10 PM,94.7%
20150521,7,MLB,8:10 PM,63.8%
20150521,8,NHL,8:15 PM,26.3%
20150521,9,NBA,9:05 PM,72.1%
20150521,10,MLB,9:10 PM,77.9%
20150521,11,Soccer,11:00 PM,79.9%
20150522,1,Tennis,8:40 AM,83.0%
20150522,2,Soccer,1:00 PM,87.4%
20150522,3,SOFT,2:03 PM,22.4%
20150522,4,MLB,7:08 PM,78.4%
20150522,5,MLB,7:10 PM,95.2%
20150522,6,MLB,7:10 PM,47.4%
20150522,7,Soccer,8:05 PM,23.5%
20150522,8,MLB,8:10 PM,48.3%
20150522,9,MLB,8:10 PM,98.1%
20150522,10,NHL,8:11 PM,36.8%
20150522,11,NBA,8:33 PM,63.8%
20150522,12,Boxing,10:30 PM,15.0%
